fid,id,@id,access,access:roof,addr2:street,addr:city,addr:country,addr:district,addr:full,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:province,addr:rt,addr:rw,addr:street,addr:subdistrict,addr:suburb,air_conditioning,alt_name,amenity,architect,backup_generator,barrier,branch,brand,brand:en,brand:ja,brand:wikidata,brand:wikipedia,building,building:condition,building:floor,building:levels,building:levels:underground,building:material,building:roof,building:structure,building:use,building:walls,capacity:persons,changing_table,check_date,check_date:opening_hours,contact:facebook,contact:instagram,contact:phone,description,ele,email,entrance,evacuation_center,fixme,flood_prone,height,industrial,int_name,internet_access,internet_access:fee,key,kitchen:facilities,landuse,layer,level,name,name:en,name:id,name:ja,name:ko,old_name,opening_hours,opening_hours:covid19,operator,operator:type,outdoor_seating,payment:alipay,payment:atome,payment:cash,payment:coins,payment:contactless,payment:credit_cards,payment:dana,payment:debit_cards,payment:gpn_debit,payment:gpn_qris,payment:gpn_qris:ovo,payment:jcb,payment:maestro,payment:mastercard,payment:mastercard_debit,payment:notes,payment:ovo,payment:qris,payment:shopeepay,payment:shopeepay:gpn_qris,payment:visa,payment:visa_contactless,payment:visa_debit,payment:visa_electron,phone,ref:vatin,roof:shape,shelter_type,shop,short_name,smoking,source,start_date,supermarket,toilet:facilities,toilets,toilets:access,toilets:number,toilets:wheelchair,type,water_source,website,wheelchair,wikidata,wikimedia_commons,wikipedia,wikipedia:en,year_of_construction,@geometry,good
108,way/489332606,way/489332606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seasons City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,"2011",,,,,,,,,,,,,,,,center,Keterjangkauan Baik
109,way/491537587,way/491537587,,,,DKI Jakarta,,,Jalan Kemang I B,,,,,,,,,,,,,,,,,,Lotte Department Store,,,Q489905,,supermarket,good,ceramics,"4",,,concrete,confined_masonry,,brick,100-250,,,,,,,,,,,,,,,,,,,,,,,,Lotte Department Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department_store,,,HOT_InAWARESurvey_2017,,,,,,,,,,,,,,,,,center,Keterjangkauan Buruk
110,way/492067198,way/492067198,,no,,DKI Jakarta,,,Jalan Raya Bogor,,,,,,,,,,,,,,,yes,,,,,,,,mall,good,ceramics,"4",,,concrete,confined_masonry,,concrete,lebih dari 500,,,,,,,,,,,,,,,,,,,,,,,,Ramayana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,HOT_InAWARESurvey_2017,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
111,way/493624223,way/493624223,,yes,,DKI Jakarta,,,,Puri Indah Mall,,,"11610",,,,"Jalan Puri Agung Puri Indah, Jakarta Barat",,,,,,,yes,,,,,,,,yes,good,ceramics,"3",,,concrete,confined_masonry,,brick,,,,,,,,,,,,,,,,,,,,,,,,,Puri Indah Mall,,,,,,10:00-22:00,,PT. Antilope Madju Puri Indah,,,,,,,,,,,,,,,,,,,,,,,,,,,+62 21 5822 582,,,,mall,,,,1997-09-01,,,,,,,,,,,,,,,,center,Keterjangkauan Buruk
112,way/494066797,way/494066797,,,,West Jakarta,,,,,"No.1, RT.10/RW.10",,"11450",,,,Jalan Kyai Tapa,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roxy Square,,,,,,"08:00-17:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,+62 21 5695 3500,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
113,way/498513737,way/498513737,,,,"Sunter, North Jakarta",,,,,,,"14350",,,,Jalan Griya Utama,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Centrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
114,way/498717449,way/498717449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Élysee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
115,way/506711807,way/506711807,,,,,,,,,,,,,,,,,,,Beach City International Stadium,,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ancol Beach City Mall,,,,,,"Mo-Th 10:00-21:00; Fr-Su 10:00-22:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,+62 821 3600 9600,,,,mall,BCIS,,,,,,,,,,,,https://beachcityjakarta.com,,,,,,,center,Keterjangkauan Baik
116,way/508303805,way/508303805,,,,Jakarta Timur,,,,Cibubur Junction,"1",,"13720",,,,Jalan Jambore Raya,,Cibubur,yes,,,,,,,,,,,,mall,,,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cibubur Junction,,,,,,Mo-Su 10:00-22:00,,Lippo Group,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 877 55 678;+62 21 873 3339",,,,mall,,,,2005-07-28,,,,,,,,,,,,,,,,center,Keterjangkauan Buruk
117,way/510172679,way/510172679,,no,,DKI Jakarta,,,,,,,,,,,Jalan Lingkar Luar Selatan Nomer 6,,,,,,,yes,,,,,,,,yes,good,ceramics,"3",,,asbestos,reinforced_masonry,,brick,lebih dari 500,,,,,,,,,,,,,,,,,,,,,,,,Lotte Mart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
118,way/511934520,way/511934520,,,,Central Jakarta,,,,,No. 6 Kav B6,,"10610",,,,Jl. Angkasa,,,,,,,,,,,,,,,retail,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mega Glodok Kemayoran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,"2006",,,,,,,,,,,,,,,,center,Keterjangkauan Baik
119,way/512512203,way/512512203,,,,DKI Jakarta,,,,,,,"13470",,,,Jalan I Gusti Ngurah Rai,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citra Mall Klender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
120,way/512873522,way/512873522,,,,DKI Jakarta,,,,,Kav 4-5,,"12940",,,,Jalan Prof. Dr. Satrio,,,yes,Mall Ciputra World Jakarta,,,,,,,,,,,yes,,,,,,,,,,,,,,,lottemall_jkt,,,,,,,,,,,,,,,,,,,Lotte Mall,,,,,Lotte Shopping Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,"2015",,,,,,,,,https://www.lotteavenue.co.id,,Q19724923,,en:Ciputra World Jakarta,Ciputra World Jakarta,,center,Keterjangkauan Baik
121,way/516775412,way/516775412,,no,,,,,Jalan Melawai Raya,,,,,,,,,,,,,,,yes,,,,,,,,mall,good,ceramics,"3",,,tin,confined_masonry,,brick,>500,,,,,,,,,,,,,,,,,,,,,,,,Melawai Plaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
122,way/516775418,way/516775418,,,,DKI Jakarta,,,,,"2",,"12160",,,,Jalan Iskandarsyah II,,,,,,,,,,,,,,,retail,,,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pasaraya Grande Blok M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
123,way/516775426,way/516775426,,no,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,retail,good,ceramics,"7",,,tin,confined_masonry,,brick,lebih dari 500,,,,,,,,,,,,,,,,,,,,,,,,Blok M Square,,,,,,Mo-Su 10:00-22:00,Mo-Sa 08:00-20:00,Agung Podomoro Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
125,way/521439410,way/521439410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bella Terra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,"2017",,,,,,,,,,,,,,,,center,Keterjangkauan Baik
126,way/521678637,way/521678637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mall Metro Cipulir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
127,way/524555664,way/524555664,,,,South Jakarta,,,,,"No.18, RT.6/RW.5",,"12230",,,,Jalan Ciledug Raya,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITC Cipulir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Buruk
128,way/524571822,way/524571822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIK Avenue,,,,,,Mo-Su 10:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,"2016",,,,,,,,,,yes,,,,,,center,Keterjangkauan Baik
129,way/529363078,way/529363078,,yes,,,,,Jalan Dermaga Muara Angke,,,,,,,,,,,,,,,,,,,,,,,yes,good,,"2",,,,,,,,,,,,,,,,,,,,,"6",,,,,,,,,,Tempat Pengepakan Ikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department_store,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
130,way/529377488,way/529377488,,yes,,,,,Jalan Mangga Dua Raya,,,,,,,,,,,,,,,no,,,,,,,,yes,good,ceramics,"5",,,concrete,confined_masonry,,concrete,>500,,,,,,,,,,,,,,,,,,,,,,,,Pasar Pagi Mangga Dua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
131,way/529392697,way/529392697,,no,,Jakarta Utara,,,,,,,"14450",,,,"Jalan Pluit Karang Ayu 1 No.B1, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",,,,,,,yes,,,,,,,,yes,,ceramics,"13",,,tin,confined_masonry,,,,,,,,,,,,,,,,,"56.3",,,,,,,,,,Baywalk Mall,,,,,,10:00-22:00,,PT. Kencana Unggul Sukses,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 2962 7999, +62 21 2962 7988",,,,mall,,,HOT_InAWARESurvey_2017,"2014",,,,,,,,,http://www.baywalkmall.com,,Q17999170,,id:Baywalk Pluit,,,center,Keterjangkauan Baik
132,way/538319726,way/538319726,,,,"Central Jakarta, Indonesia",,,,,,,"10350",,,,Jalan M. Haji Thamrin,,,yes,,,,,,,,,,,,yes,,,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,Plaza Indonesia,,JadeLab Plaza Indonesia,,,,Mo-Su 10:00-22:00,,Sinarmas Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,yes,,,,,,,yes,,,,,,center,Keterjangkauan Baik
133,way/539176312,way/539176312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mall Blok M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
134,way/547850021,way/547850021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,retail,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pondok Indah Mall 3,,,,,,,,"PT. Metropolitan Kencana, Tbk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,https://www.pondokindahmall.co.id,,,,,,,center,Keterjangkauan Baik
136,way/625889355,way/625889355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lippo Mall Puri 2,,,,,,Mo-Su 10:00-22:00,,Lippo Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Buruk
137,way/625889357,way/625889357,,,,"Puri Kembangan, West Jakarta",,,,,Blok U 1,,"11610",,,,Jalan Puri Lingkar Luar,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lippo Mall Puri 1,,,,,,Mo-Su 10:00-22:00,,Lippo Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,"2017",,,,,,,,,,,,,,,,center,Keterjangkauan Buruk
138,way/754516405,way/754516405,,,,DKI Jakarta,,,,,,,,,,,Jalan Gerbang Pemuda,,,,,,,,,,,,,,,retail,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Senayan Park,,,,,,Mo-Su 10:00-22:00,,PT. Lippo Karawaci Tbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,Spark,,,,,,,,,,,,https://senayanpark.com/,,,,,,,center,Keterjangkauan Baik
139,way/780563902,way/780563902,,,,Jakarta Selatan,,,,,"163",,"12530",,,,Jalan Raya Tj. Barat,,,,,,,,,,,,,,,yes,,,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,ÆON Mall,,,,,,Mo-Su 10:00-22:00,,Sinarmas Land,,,,,,,,,,,,,,,,,,,,,,,,,,,"+622150959888",,,,mall,,,,"2020",,,,,,,,,https://aeonmall-tanjungbarat.com,,Q11286068,,id:ÆON Mall,,,center,Keterjangkauan Baik
140,way/812921901,way/812921901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wang Plaza Kedoya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
141,way/881967800,way/881967800,,,,,,,,,,,,,,,,,,,Bassura City Mall,,,,,,,,,,,commercial,,,"8",,,,,,,,,,,,,,,,,,,,,"32.5",,,,,,,,,,Mall@Bassura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,"2016",,,,,,,,,,,,,,,,center,Keterjangkauan Baik
143,way/974882100,way/974882100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Indonesia Shopping Town,,,,,,Mo-Su 10:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,yes,Q5594677,Category:Grand Indonesia,en:Grand Indonesia Shopping Town,,,center,Keterjangkauan Baik
144,way/1075721000,way/1075721000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Green Pramuka Square,,,,,,10:00-22:00,,Green Pramuka City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,http://www.greenpramukasquare.com/,,,,,,,center,Keterjangkauan Baik
145,way/1081176789,way/1081176789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Green Sedayu Mall,,,,,,Mo-Su 10:00-22:00,,Agung Sedayu Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,"2020",,,,,,,,,,,,,,,,center,Keterjangkauan Buruk
146,way/1098147938,way/1098147938,,,,Jakarta Barat,,,,,"2",,,,,,Jalan Tanjung Duren Timur,,,yes,,,,,,,,,,,,yes,,,"2",,,,,,,,,2023/10/11,,hublife_jakarta,hublifejakarta,,,,,,,,,,,,,,,,,,,Hublife,,,,,,Mo-Su 10:00-20:00,,ASRI (Agung Sedayu Group),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,yes,,,,,,,,,,,,,center,Keterjangkauan Baik
147,way/1113270959,way/1113270959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By The Sea Shopping Mall at Golf Island PIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Buruk
148,way/1115929347,way/1115929347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Paragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Buruk
149,way/1156109444,way/1156109444,,,,Jakarta Pusat,,Kemayoran,,Menara Jakarta at Kemayoran,C-8,,"10610",Jakarta,,,Jalan Menara Angkasa Raya,Gunung Sahari Selatan,,,K Mall at Menara Jakarta,,,,,,,,,,,commercial,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K Mall,,,,,,Mo-Su 10:00-22:00,,Agung Sedayu Retail Indonesia,,,,,,,yes,yes,,yes,,,,,,,,,,yes,,,,,,,"+622150918889",,,,mall,,,,,,,,,,,,,https://kmall.co.id/,,Q136768547,,,,,center,Keterjangkauan Baik
150,way/1219363049,way/1219363049,,,,"Kemang, South Jakarta",,,,,,,"12730",,,,Kemang VillageJl. Pangeran Antasari No.36,,,,,,,,,,,,,,,commercial,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lippo Mall Kemang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Buruk
151,way/1335089498,way/1335089498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTen / Menara Tendean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,"2021",,,,,,,,,,,,,,,,center,Keterjangkauan Buruk
152,way/1429863466,way/1429863466,,,,Jakarta Barat,,Taman Sari,,,,,,DKI Jakarta,,,Jalan Labu,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plaza Jayakarta,,,,,,,,Pudjiadi Prestige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,1983-01-18,,,,,,,,,,,,,,,1980..1982,center,Keterjangkauan Baik
153,node/4146450482,node/4146450482,,,,"Petojo Utara, Gambir, Central Jakarta",,,,,No. 19 - 26,,"10130",,,,Jalan Gajah Mada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gajah Mada Plaza (Main Entrance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Baik
155,node/4148241807,node/4148241807,,,,"RT.13/RW.8, West Jakarta",,,,,"No.126, RT.13/RW.8",,"11130",,,,Jl. Gajahmada No.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Paragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Baik
157,node/4148556005,node/4148556005,,,,"East Kuningan, Central Jakarta",,,,,No.3,,"12950",,,,Jalan Mega Kuningan Barat III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bellagio Boutique Mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Baik
159,node/4148837498,node/4148837498,,,,West Jakarta,,,,,No. 33,,"11320",,,,"Jl. Prof. Dr. Latumenten, Jembatan Besi, Tambora, Daerah Khusus Ibukota Jakarta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seasons City (Main Entrance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Baik
160,node/4150281840,node/4150281840,,,,East Jakarta,,,,,RT.6/RW.12,,"13330",,,,Jalan Letnan Jenderal MT Haryono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M.T. Haryono Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Baik
162,node/4150442843,node/4150442843,,,,Central Jakarta,,,,,,,"10210",,,,JL. KH. Samanhudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pasar Jaya. PD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Buruk
165,node/4150995836,node/4150995836,,,,South Jakarta,,,,,,,"12940",,,,Jalan Hajjah R. Rasuna Said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plaza Kuningan, Menara Selatan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Baik
166,node/4152512520,node/4152512520,,,,"Kalideres ,West Jakarta",,,,,,,"11840",,,,Jl. Daan Mogot Km. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mall Daan Mogot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Baik
168,node/4152540737,node/4152540737,,,,North Jakarta,,,,,RT.18/RW.5,,"14310",,,,Jl. Danau Sunter Barat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maple Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Baik
169,node/4152690689,node/4152690689,,,,"Kelapa Gading, North Jakarta",,,,,Blok M,,"14240",,,,Jl. Bulevar Kelapa Gading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Piazza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Buruk
176,node/4244014955,node/4244014955,,,,"Kebayoran Baru, South Jakarta",,,,,"2",,"12160",,,,Jalan Sultan Iskandarsyah 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pasaraya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Baik
177,node/4248163887,node/4248163887,,,,"Pademangan, North Jakarta",,,,,"93",,"14430",,,,Jl. Gerbang Ancol,,,,,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pasar Seni Ancol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Baik
178,node/4248182973,node/4248182973,,,,West Jakarta,,,,,,,"11170",,,,Jalan Mangga Besar Raya,,,,,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pasar Jembatan Merah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Buruk
179,node/4248212168,node/4248212168,,,,central Jakarta,,,,,,,"10720",,,,Jalan Industri Raya,,,,,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pasar Mobil Kemayoran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Baik
182,node/4307243591,node/4307243591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tanah Abang Market,Pasar Tanah Abang Pintu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department_store,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Baik
183,node/5068211209,node/5068211209,,,,Central Jakarta,,,,,,,"14240",,,,Jl. Boulevard Kelapa Gading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kelapa Gading Mall 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Buruk
185,node/5840893286,node/5840893286,,,,,,,,,,,,,,,,,,,,,,,,,METRO,,,Q13610282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,METRO,Metro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wholesale,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Baik
188,node/9555672917,node/9555672917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prada Menteng Mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Baik
189,node/9728504528,node/9728504528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trade Mall Harco Glodok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Baik
190,node/9728578603,node/9728578603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citywalk Gajah Mada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Baik
191,node/9755222519,node/9755222519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashta District 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Baik
192,node/11575592949,node/11575592949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pintu Masuk Utama Pusat Grosir Metro Tanah Abang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,,Keterjangkauan Baik
193,node/11780214539,node/11780214539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pondok Kelapa Town Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,Superindo,,,,,,,,,,,,,,,,Keterjangkauan Buruk
